ticker,name,sector,industry
VLO,"Valero Energy Corp.",Energy,"Oil & Gas Refining & Marketing"
VMC,"Vulcan Materials Company",Materials,"Construction Materials"
VNO,"Vornado Realty Trust","Real Estate","Office REITs"
VRSK,"Verisk Analytics Inc.",Industrials,"Research & Consulting Services"
VRSN,"VeriSign Inc.","Information Technology","Internet Services"
VRTX,"Vertex Pharmaceuticals","Health Care",Biotechnology
VTR,"Ventas Inc.","Real Estate","Health Care REITs"
VTRS,"Viatris Inc.","Health Care",Pharmaceuticals
VZ,"Verizon Communications","Communication Services","Integrated Telecommunication Services"
WAB,"Wabtec Corporation",Industrials,"Construction Machinery & Heavy Trucks"
WAT,"Waters Corporation","Health Care","Life Sciences Tools & Services"
WBA,"Walgreens Boots Alliance","Consumer Staples","Drug Retail"
WDC,"Western Digital Corp.","Information Technology","Technology Hardware"
WEC,"WEC Energy Group Inc.",Utilities,Multi-Utilities
WELL,"Welltower Inc.","Real Estate","Health Care REITs"
WFC,"Wells Fargo & Company",Financials,"Diversified Banks"
WHR,"Whirlpool Corporation","Consumer Discretionary","Household Appliances"
WLTW,"Willis Towers Watson",Financials,"Insurance Brokers"
WM,"Waste Management Inc.",Industrials,"Environmental & Facilities Services"
WMB,"Williams Companies Inc.",Energy,"Oil & Gas Storage & Transportation"
WMT,"Walmart Inc.","Consumer Staples","Hypermarkets & Super Centers"
WRB,"W.R. Berkley Corporation",Financials,"Property & Casualty Insurance"
WRK,"WestRock Company",Materials,"Paper & Plastic Packaging"
WST,"West Pharmaceutical Services","Health Care","Health Care Supplies"
WU,"Western Union Company","Information Technology","Data Processing & Services"
WY,"Weyerhaeuser Company","Real Estate","Specialized REITs"
WYNN,"Wynn Resorts Limited","Consumer Discretionary","Casinos & Gaming"
XEL,"Xcel Energy Inc.",Utilities,Multi-Utilities
XLNX,"Xilinx Inc.","Information Technology",Semiconductors
XOM,"Exxon Mobil Corp.",Energy,"Integrated Oil & Gas"
XRAY,"Dentsply Sirona","Health Care","Health Care Supplies"
XYL,"Xylem Inc.",Industrials,"Industrial Machinery"
YUM,"Yum! Brands Inc.","Consumer Discretionary",Restaurants
ZBH,"Zimmer Biomet Holdings","Health Care","Health Care Equipment"
ZBRA,"Zebra Technologies","Information Technology","Electronic Equipment"
ZION,"Zions Bancorporation",Financials,"Regional Banks"
ZTS,"Zoetis Inc.","Health Care",Pharmaceuticals
